system,cohort,realization,local_jsd,simple_shape_jsd,cluster_locked_jsd,simple_improves_local,simple_beats_cluster_locked
MACS J0553.4-3342,development,81,0.19967634290575142,0.13261209281240138,0.005354273021365272,True,False
MACS J0553.4-3342,development,82,0.19396041374996278,0.12864272100089102,0.005784090278048946,True,False
MACS J0553.4-3342,development,83,0.20079527744043668,0.13375225028732526,0.007533490034318591,True,False
MACS J0553.4-3342,development,84,0.18044001791167813,0.119784915294468,0.009156741137762327,True,False
MACS J0553.4-3342,development,85,0.18879555727306585,0.12554255911495998,0.008401050268319363,True,False
MACS J0553.4-3342,development,86,0.19224879188277288,0.12777588416258118,0.007194107291904443,True,False
MACS J0553.4-3342,development,87,0.19447016798581254,0.12935173585665607,0.006435113169373542,True,False
MACS J0553.4-3342,development,88,0.19703639962041875,0.13057750542363644,0.005781892765063413,True,False
MACS J0553.4-3342,development,89,0.19992567835518665,0.13250255990639465,0.005682674604021476,True,False
MACS J0553.4-3342,development,90,0.19420930549236676,0.1288714479604232,0.005917174987329141,True,False
MACS J0553.4-3342,development,91,0.1951667139192854,0.1293773627431721,0.0057378681125473665,True,False
MACS J0553.4-3342,development,92,0.19313360245171218,0.12834377274272202,0.006367216538316859,True,False
MACS J0553.4-3342,development,93,0.19228763069726595,0.12753942257610662,0.006085580987210401,True,False
MACS J0553.4-3342,development,94,0.18979898317465616,0.12560942647937892,0.005720420942309782,True,False
MACS J0553.4-3342,development,95,0.2062392908359473,0.13784829471531865,0.009593024069000313,True,False
MACS J0553.4-3342,development,96,0.19732150336683263,0.13059785507867877,0.004860585623196296,True,False
MACS J0553.4-3342,development,97,0.19350962619048317,0.12848327235975857,0.006599375776016883,True,False
MACS J0553.4-3342,development,98,0.19274419159374806,0.12755920361940867,0.005805870449013642,True,False
MACS J0553.4-3342,development,99,0.1967409600005252,0.13035639332144744,0.004776790074729555,True,False
RXC J0032.1+1808,holdout,0,0.14485391375131956,0.10205157585826788,0.060640245325273574,True,False
RXC J0032.1+1808,holdout,1,0.14491450349766272,0.10132253254515833,0.05862615893952709,True,False
RXC J0032.1+1808,holdout,2,0.14643182004237915,0.10341274396456737,0.0635631388859305,True,False
RXC J0032.1+1808,holdout,3,0.14617531241837473,0.10148812804476637,0.05867860378329097,True,False
RXC J0032.1+1808,holdout,4,0.14539427594346166,0.1024296458323174,0.06080062815600876,True,False
RXC J0032.1+1808,holdout,5,0.14861694676867246,0.1054292766400385,0.0636559873686371,True,False
RXC J0032.1+1808,holdout,6,0.14786549893478906,0.10498717936789434,0.06307966049282994,True,False
RXC J0032.1+1808,holdout,7,0.14592462757925878,0.1035839398405434,0.06301497959895622,True,False
RXC J0032.1+1808,holdout,8,0.14264674354214169,0.10061217990269575,0.06180701404826827,True,False
RXC J0032.1+1808,holdout,9,0.14694144811081733,0.10404890367448533,0.06357652846463085,True,False
RXC J0032.1+1808,holdout,10,0.147623808132806,0.10380961289679122,0.06131752517031039,True,False
RXC J0032.1+1808,holdout,11,0.14871724834790867,0.105212400934862,0.06298025650524389,True,False
RXC J0032.1+1808,holdout,12,0.14628619102180146,0.1027762816548799,0.06059851853818332,True,False
RXC J0032.1+1808,holdout,13,0.145618577661867,0.10235127611475467,0.060809603619444014,True,False
RXC J0032.1+1808,holdout,14,0.1480141379044898,0.10428767995835307,0.06199660880367888,True,False
RXC J0032.1+1808,holdout,15,0.14709909264405663,0.10373971042321439,0.061844786935790555,True,False
RXC J0032.1+1808,holdout,16,0.14594204631893637,0.10298074439165489,0.06161790692443708,True,False
RXC J0032.1+1808,holdout,17,0.14640655018946847,0.10262110615613565,0.06090552803841845,True,False
RXC J0032.1+1808,holdout,18,0.1456141145601011,0.1028372317684917,0.06245600307270294,True,False
