domain,system,radius_kpc,gbar_m_s2,target_chi,conservative_delta_q_over_target_chi,passes_5_percent
SPARC,UGC02953,25.24,3.422591780156131e-11,2.885991244095976e-07,7165.72947417483,False
SPARC,UGC02953,26.44,3.088621198723557e-11,2.751862366337633e-07,7063.520227918851,False
SPARC,UGC02953,27.65,2.8055683426171126e-11,2.6294321515223534e-07,6993.764441239009,False
SPARC,UGC02953,28.85,2.5623569546510495e-11,2.5188546295846396e-07,6932.516228797141,False
SPARC,UGC02953,30.05,2.350114409636039e-11,2.4176593111011104e-07,6878.233858191031,False
SPARC,UGC02953,31.25,2.169319728850202e-11,2.3245604321266117e-07,6857.122445465615,False
SPARC,UGC02953,32.34,2.0264702446058234e-11,2.2460514435454815e-07,6859.070634928168,False
SPARC,UGC02953,33.55,1.8852306122190524e-11,2.1648001751844631e-07,6869.04661294479,False
SPARC,UGC02953,34.75,1.7561721884306653e-11,2.089788457290807e-07,6859.911985317056,False
SPARC,UGC02953,35.95,1.6371322794840902e-11,2.0198874846686384e-07,6833.237506419804,False
SPARC,UGC02953,37.15,1.5293583658882846e-11,1.9546588033040855e-07,6804.828190946179,False
SPARC,UGC02953,38.35,1.4331619636404132e-11,1.893631844360357e-07,6787.006715456101,False
SPARC,UGC02953,39.56,1.3470468716812178e-11,1.8358831814521832e-07,6785.073732708676,False
SPARC,UGC02953,40.76,1.2723717730576838e-11,1.781924006051572e-07,6810.140834877729,False
SPARC,UGC02953,41.96,1.2033506762834952e-11,1.7309249257191692e-07,6830.952020378082,False
SPARC,UGC02953,43.16,1.1376177318610366e-11,1.6827017349756555e-07,6830.986165958232,False
SPARC,UGC02953,44.36,1.0763089940877993e-11,1.637095561724383e-07,6823.0768548902215,False
SPARC,UGC02953,45.57,1.0219684165106614e-11,1.5935115282758783e-07,6841.988269289614,False
SPARC,UGC02953,46.77,9.72899180421877e-12,1.552417902108073e-07,6869.431116584039,False
SPARC,UGC02953,47.97,9.256883493218485e-12,1.5133076141300064e-07,6878.00273432383,False
SPARC,UGC02953,49.17,8.81066593520802e-12,1.4760890476887164e-07,6877.203614707755,False
SPARC,UGC02953,50.37,8.404144085235286e-12,1.440627096799461e-07,6886.736750686758,False
SPARC,UGC02953,51.58,8.026673302259525e-12,1.4064980874041498e-07,6902.159682685337,False
SPARC,UGC02953,52.78,7.657054883958648e-12,1.374190115486968e-07,6889.792900524421,False
SPARC,UGC02953,53.98,7.304980127405452e-12,1.3433688081274202e-07,6867.23678905618,False
SPARC,UGC02953,55.18,6.982591062078821e-12,1.3139368743885901e-07,6854.396241361702,False
SPARC,UGC02953,57.59,6.411600851583766e-12,1.2585237416255993e-07,6855.049706354781,False
SPARC,UGC02953,59.99,5.878062793477077e-12,1.2078911237681771e-07,6799.282158511117,False
SPARC,UGC02953,62.39,5.421682759940129e-12,1.161336904302438e-07,6772.375533991018,False
SPARC,UGC03205,0.28,6.882720954836547e-10,1.2092979409419141e-06,12.790257681892628,False
SPARC,UGC03205,0.55,8.727449431553901e-10,1.1369459391681608e-06,70.78362016209967,False
SPARC,UGC03205,0.83,7.439913134922883e-10,1.0592360386692617e-06,145.45437323512607,False
SPARC,UGC03205,1.39,5.197776970188766e-10,9.377476219202631e-07,301.77207895034064,False
SPARC,UGC03205,1.65,4.623658440375297e-10,8.939119713272414e-07,386.6947248864941,False
SPARC,UGC03205,3.04,2.5285512208370376e-10,7.232510126519417e-07,736.7800603149481,False
