model,routing_fraction,system_label,variant_id,source_family,source_redshift,observed_images,global_roots,surplus_roots,missing_roots,unassigned_roots,potentially_observable_surplus_roots,faintest_assigned_abs_magnification,observable_surplus_abs_magnification_threshold,all_observed_images_assigned,assignment_RMS_arcsec,assignment_max_arcsec,multiplicity_classification,parity_diverse,critical_sign_change_cells,critical_curve_present
linear_route_14_f0p8,0.8,RXJ2129,linear_route_14_f0p8,3,1.5194,4,3,0,1,0,0,1.8585186224943069,0.4646296556235767,False,,25.49842781212243,missing_multiplicity,True,458,True
linear_route_14_f0p8,0.8,RXJ2129,linear_route_14_f0p8,4,1.5202,3,5,2,0,2,2,0.5777410591985366,0.14443526479963414,True,10.954257737644971,18.725135276712376,potentially_observable_surplus,True,458,True
linear_route_14_f0p8,0.8,RXJ2129,linear_route_14_f0p8,5,1.521,3,5,2,0,2,1,7.05347844899059,1.7633696122476474,True,3.981316005419816,5.463391054211025,potentially_observable_surplus,True,458,True
linear_route_14_f0p8,0.8,RXJ2129,linear_route_14_f0p8,6,3.0815,3,5,2,0,2,2,0.8130034542255264,0.2032508635563816,True,3.0168821873610616,4.927507395588337,potentially_observable_surplus,True,586,True
linear_route_14_f0p8,0.8,RXJ2129,linear_route_14_f0p8,7,3.427,3,3,0,0,0,0,1.1330488717970848,0.2832622179492712,True,28.874717792651253,48.47672486884205,exact_multiplicity,True,596,True
linear_route_15_f0p9,0.9,RXJ2129,linear_route_15_f0p9,1,0.6786,3,3,0,0,0,0,1.8392374529683777,0.4598093632420944,True,10.487098494373212,18.081406745598287,exact_multiplicity,True,340,True
linear_route_15_f0p9,0.9,RXJ2129,linear_route_15_f0p9,2,0.916,3,5,2,0,2,2,0.5044633644141053,0.12611584110352633,True,4.001992475145997,6.508599190945201,potentially_observable_surplus,True,398,True
linear_route_15_f0p9,0.9,RXJ2129,linear_route_15_f0p9,3,1.5194,4,3,0,1,0,0,1.2746652398468323,0.3186663099617081,False,,29.242134360099705,missing_multiplicity,True,464,True
linear_route_15_f0p9,0.9,RXJ2129,linear_route_15_f0p9,4,1.5202,3,3,0,0,0,0,0.6041837325773305,0.15104593314433262,True,16.90649713017259,28.474955884287674,exact_multiplicity,True,464,True
linear_route_15_f0p9,0.9,RXJ2129,linear_route_15_f0p9,5,1.521,3,5,2,0,2,2,0.3259642999571886,0.08149107498929715,True,10.12673382456649,17.401163688817157,potentially_observable_surplus,True,464,True
linear_route_15_f0p9,0.9,RXJ2129,linear_route_15_f0p9,6,3.0815,3,5,2,0,2,2,1.1616938641490977,0.2904234660372744,True,1.506447013871236,1.959354927540365,potentially_observable_surplus,True,538,True
linear_route_15_f0p9,0.9,RXJ2129,linear_route_15_f0p9,7,3.427,3,1,0,2,0,0,1.6574222526546167,0.4143555631636542,False,,23.700268491216796,missing_multiplicity,False,552,True
linear_route_16_f1,1.0,RXJ2129,linear_route_16_f1,1,0.6786,3,3,0,0,0,0,1.6889488538499324,0.4222372134624831,True,11.890141605650113,20.51626641250065,exact_multiplicity,True,372,True
linear_route_16_f1,1.0,RXJ2129,linear_route_16_f1,2,0.916,3,5,2,0,2,2,0.3880582608136002,0.09701456520340004,True,4.868627289272392,7.9487843889937535,potentially_observable_surplus,True,426,True
linear_route_16_f1,1.0,RXJ2129,linear_route_16_f1,3,1.5194,4,3,0,1,0,0,1.2571735333710823,0.31429338334277057,False,,33.1665059332923,missing_multiplicity,True,524,True
linear_route_16_f1,1.0,RXJ2129,linear_route_16_f1,4,1.5202,3,3,0,0,0,0,0.7199841501675507,0.17999603754188767,True,18.927211928993422,32.11203586732195,exact_multiplicity,True,524,True
linear_route_16_f1,1.0,RXJ2129,linear_route_16_f1,5,1.521,3,5,2,0,2,2,0.26641944549398267,0.06660486137349567,True,9.796482031028457,16.84687561297864,potentially_observable_surplus,True,526,True
linear_route_16_f1,1.0,RXJ2129,linear_route_16_f1,6,3.0815,3,5,2,0,2,2,0.629176461076599,0.15729411526914974,True,1.9703960556115074,2.3499815974303546,potentially_observable_surplus,True,608,True
linear_route_16_f1,1.0,RXJ2129,linear_route_16_f1,7,3.427,3,3,0,0,0,0,1.4979819790527764,0.3744954947631941,True,15.659449653409027,25.96286479686975,exact_multiplicity,True,612,True
