system,cohort,candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
MACS J0553.4-3342,development,tidal_weighted__w100__f0.6,tidal_weighted,100.0,0.6,0.005998097703272063,0.9562373545715934,0.1561641206688029,9.003745528346958
MACS J0553.4-3342,development,tidal_weighted__w100__f0.8,tidal_weighted,100.0,0.8,0.007009062362916765,0.9503532834313424,0.16991066851488462,9.328442653521135
MACS J0553.4-3342,development,tidal_weighted__w100__f1,tidal_weighted,100.0,1.0,0.008239457369488369,0.9421551037163829,0.1859116188294603,9.902579347574996
RXC J0032.1+1808,holdout,local_control,local_control,0.0,0.0,0.05016306853303489,0.7976869263836701,0.44606416710090663,9.607155865729242
RXC J0032.1+1808,holdout,activation_only__w20__f0.05,activation_only,20.0,0.05,0.05111108972473155,0.7966337039173815,0.4498892714856937,9.48373982219956
RXC J0032.1+1808,holdout,activation_only__w20__f0.1,activation_only,20.0,0.1,0.05211771142715263,0.7935927880388229,0.45407002300661625,9.360470126975022
RXC J0032.1+1808,holdout,activation_only__w20__f0.2,activation_only,20.0,0.2,0.054309648839225594,0.7804928891838439,0.4634591519111741,9.114393526276311
RXC J0032.1+1808,holdout,activation_only__w20__f0.4,activation_only,20.0,0.4,0.05943657016160901,0.7208702468070829,0.4860548838452232,8.624276179034648
RXC J0032.1+1808,holdout,activation_only__w20__f0.6,activation_only,20.0,0.6,0.0656326900177158,0.6173841844474364,0.5131648224792221,8.137281770328954
RXC J0032.1+1808,holdout,activation_only__w20__f0.8,activation_only,20.0,0.8,0.07304291310565103,0.48890215138366266,0.5441146388871,7.654006424365118
RXC J0032.1+1808,holdout,activation_only__w20__f1,activation_only,20.0,1.0,0.081909829515391,0.36067278285896825,0.5782881338685038,7.1752016568000245
RXC J0032.1+1808,holdout,activation_only__w50__f0.05,activation_only,50.0,0.05,0.05084263424334132,0.7994664818076747,0.4487892731320427,9.56252244716151
RXC J0032.1+1808,holdout,activation_only__w50__f0.1,activation_only,50.0,0.1,0.051573444421431615,0.7998071733691665,0.4518164766549616,9.518065697809696
RXC J0032.1+1808,holdout,activation_only__w50__f0.2,activation_only,50.0,0.2,0.053190167913866694,0.7953064240371572,0.45875265835589407,9.42969219182172
RXC J0032.1+1808,holdout,activation_only__w50__f0.4,activation_only,50.0,0.4,0.05705797670303187,0.7602171836918258,0.47596082211737467,9.255177116493385
RXC J0032.1+1808,holdout,activation_only__w50__f0.6,activation_only,50.0,0.6,0.06181065409925536,0.6860462638148711,0.49721961857670904,9.083780584310125
RXC J0032.1+1808,holdout,activation_only__w50__f0.8,activation_only,50.0,0.8,0.06751764345436248,0.5812366996984445,0.5220344205791053,8.915682451230838
RXC J0032.1+1808,holdout,activation_only__w50__f1,activation_only,50.0,1.0,0.07428266138363732,0.46500916755617966,0.549924054489372,8.75107279478042
RXC J0032.1+1808,holdout,activation_only__w100__f0.05,activation_only,100.0,0.05,0.050871326186609486,0.800963711078855,0.4487050142854804,9.715245021825856
RXC J0032.1+1808,holdout,activation_only__w100__f0.1,activation_only,100.0,0.1,0.0516316226032376,0.802963698021667,0.45165624472238625,9.828150294850714
RXC J0032.1+1808,holdout,activation_only__w100__f0.2,activation_only,100.0,0.2,0.05330961327952797,0.8021621392599462,0.4584652496484111,10.067754174660022
RXC J0032.1+1808,holdout,activation_only__w100__f0.4,activation_only,100.0,0.4,0.05730806745844054,0.7745213036012302,0.47551564343513597,10.597644571703487
RXC J0032.1+1808,holdout,activation_only__w100__f0.6,activation_only,100.0,0.6,0.06219871762180598,0.703876164646493,0.4967368188693889,11.186984976692361
RXC J0032.1+1808,holdout,activation_only__w100__f0.8,activation_only,100.0,0.8,0.06804363098729123,0.5956084942423508,0.5216199817319367,11.826891448015058
RXC J0032.1+1808,holdout,activation_only__w100__f1,activation_only,100.0,1.0,0.07493283421396005,0.47094556421591516,0.5496680284646079,12.50960654182774
RXC J0032.1+1808,holdout,field_weighted__w20__f0.05,field_weighted,20.0,0.05,0.04988111350380464,0.7975624679420533,0.4453500238431502,9.011203278111298
RXC J0032.1+1808,holdout,field_weighted__w20__f0.1,field_weighted,20.0,0.1,0.04964762829277053,0.7957285313898836,0.44494648552860927,8.42885638482863
