galaxy,split,law,points,velocity_RMSE_km_s,log_acceleration_RMSE_dex,mean_log_residual_dex
NGC4068,outside_P0630_split,li2018_rar_mond,2,11.949500409276224,0.26803146950593987,-0.2677851922155157
NGC4068,outside_P0630_split,simple_mond,2,12.014801731691914,0.2692790136634207,-0.2690351807879092
NGC4068,outside_P0630_split,standard_mond,2,9.348985215245301,0.21672420875194584,-0.21638975951233394
NGC4085,outside_P0630_split,baryons,6,21.417233177179416,0.1613217439044112,0.11108664183458522
NGC4085,outside_P0630_split,li2018_rar_mond,6,18.017807177533058,0.14400734257565348,-0.12117822510925062
NGC4085,outside_P0630_split,simple_mond,6,19.26824514070355,0.15204161763405236,-0.1296744799578613
NGC4085,outside_P0630_split,standard_mond,6,8.819945656961576,0.08315695732918256,-0.02811901952333466
NGC4088,train,baryons,11,26.275206320864545,0.15352060995576017,0.10120831038169588
NGC4088,train,li2018_rar_mond,11,41.19629743995512,0.18641406564908175,-0.18367036890094407
NGC4088,train,simple_mond,11,42.9529955293258,0.19360276456547829,-0.19089665086841148
NGC4088,train,standard_mond,11,21.47712585618443,0.10187161186807264,-0.09736152064128954
NGC4100,train,baryons,24,66.37776887597958,0.42293988604055616,0.4117928051186304
NGC4100,train,li2018_rar_mond,24,10.537258287695405,0.05656527393590226,0.024616029438000588
NGC4100,train,simple_mond,24,9.873898551322226,0.05302938519047644,0.02001895243391488
NGC4100,train,standard_mond,24,22.446391874027242,0.12052806171104334,0.10247074426015186
NGC4138,outside_P0630_split,baryons,4,47.153886218747076,0.2930073684257888,0.25899686627851914
NGC4138,outside_P0630_split,li2018_rar_mond,4,12.22692124123638,0.06173315826984827,-0.00021484185886373394
NGC4138,outside_P0630_split,simple_mond,4,12.394589701681493,0.06242590630852095,-0.009213062529271588
NGC4138,outside_P0630_split,standard_mond,4,21.672711020920083,0.10874859895726237,0.07883075826616295
NGC4157,train,baryons,16,54.137562392105174,0.32002072823769595,0.27227866581036275
NGC4157,train,li2018_rar_mond,16,21.361916204495362,0.09455199827728687,-0.09005534147382516
NGC4157,train,simple_mond,16,22.799702365267237,0.10051708848383062,-0.09570881251727179
NGC4157,train,standard_mond,16,5.391580491445384,0.025784126984280138,-0.012849840927982317
NGC4183,holdout,baryons,20,49.293289573713245,0.5451701895396995,0.5414685071311747
NGC4183,holdout,li2018_rar_mond,20,10.642120130660738,0.0820941527139258,-0.04707034064926432
NGC4183,holdout,simple_mond,20,10.736174734633607,0.0825484358945166,-0.04859527281537764
NGC4183,holdout,standard_mond,20,8.278065569955954,0.07628758027458092,0.007314636994321708
NGC4217,train,baryons,18,45.25377021943737,0.24142603499449067,0.023098650069795168
NGC4217,train,li2018_rar_mond,18,49.545043439015004,0.23708982762015854,-0.19501768647064566
NGC4217,train,simple_mond,18,52.58950234757898,0.24837335751189696,-0.20527000656388342
NGC4217,train,standard_mond,18,37.20641431588499,0.19107879060499544,-0.11646144344157443
NGC4559,train,baryons,29,41.90665214156443,0.3840429644684301,0.36708772785475097
NGC4559,train,li2018_rar_mond,29,19.20460829209504,0.13246836229071907,-0.13012196275969423
NGC4559,train,simple_mond,29,19.55738256708314,0.13495945848520996,-0.13269188956634784
NGC4559,train,standard_mond,29,10.39782340022113,0.07200025354413629,-0.06484139335548923
NGC5005,train,baryons,17,33.0679864557555,0.11990520209090284,0.07649408309448723
NGC5005,train,li2018_rar_mond,17,11.170985644666601,0.039607451410042745,-0.01679510195595184
NGC5005,train,simple_mond,17,14.323966837328532,0.0500929884272604,-0.03263824716784262
NGC5005,train,standard_mond,17,21.770859962976825,0.076124753907752,0.04237174287104314
NGC5033,development,baryons,22,81.7961238031875,0.45963952229509863,0.39352379401055587
NGC5033,development,li2018_rar_mond,22,14.089813768763197,0.05571709159460058,-0.005287618896237223
NGC5033,development,simple_mond,22,15.295977176441363,0.05960850927545975,-0.011140522963402231
NGC5033,development,standard_mond,22,22.651791261384048,0.09469463612681331,0.05739089572017091
NGC5055,development,baryons,27,54.35388455783899,0.33786077307356144,0.24936379288096575
NGC5055,development,li2018_rar_mond,27,27.818041161362643,0.11962322830517322,-0.1179622179632387
NGC5055,development,simple_mond,27,29.619798792838285,0.1265692228949089,-0.12549601633031895
NGC5055,development,standard_mond,27,13.534027679097404,0.06219756683467014,-0.05241034368991068
NGC5371,holdout,baryons,19,45.30694573277187,0.21005122492669648,0.19592699588182744
NGC5371,holdout,li2018_rar_mond,19,44.11142038344641,0.1587658162901133,-0.09949442015556723
NGC5371,holdout,simple_mond,19,44.87142050500754,0.16008102001455618,-0.10709124522441343
NGC5371,holdout,standard_mond,19,30.868623451583737,0.12457716150550976,-0.019758970995842555
NGC5585,train,baryons,23,32.35908114066848,0.46333549655609163,0.4053673097532271
NGC5585,train,li2018_rar_mond,23,8.365936932593971,0.15269891462433605,-0.10760989353670833
NGC5585,train,simple_mond,23,8.517672311535344,0.15515246767719548,-0.11005688114082045
NGC5585,train,standard_mond,23,5.808282057185598,0.10645186924113588,-0.04378166169076618
NGC5907,train,baryons,19,86.48374825501512,0.4412863011248883,0.4317497901210016
NGC5907,train,li2018_rar_mond,19,18.86361912862449,0.07980734458557344,-0.010804020521517858
NGC5907,train,simple_mond,19,18.595240251721435,0.07813376188555606,-0.014447260211360894
NGC5907,train,standard_mond,19,24.8323095929668,0.11081073990371344,0.060729443666285333
NGC5985,train,baryons,33,136.4962034128173,0.5659959351977735,0.5639446350567628
NGC5985,train,li2018_rar_mond,33,70.76541876861991,0.2592811251840121,0.24368590572166932
NGC5985,train,simple_mond,33,69.40382992136308,0.2534040661395121,0.2380530107362353
NGC5985,train,standard_mond,33,90.46121976805465,0.3437255753761409,0.3302790081640311
NGC6015,train,baryons,44,65.62463308469805,0.5172190216182078,0.4918697221738904
NGC6015,train,li2018_rar_mond,44,11.297042035381164,0.08571437679628074,0.047520772926175285
NGC6015,train,simple_mond,44,10.822611846270027,0.08203983001429183,0.04344733080899185
NGC6015,train,standard_mond,44,19.646334765079363,0.14582515955388137,0.11912310023467171
NGC6195,train,baryons,23,32.46587637550846,0.12806940263718258,0.08875747645390426
NGC6195,train,li2018_rar_mond,23,33.30984455294008,0.11122228325170912,-0.10300050392934397
NGC6195,train,simple_mond,23,36.23871938867616,0.12075568542623517,-0.11423998152245637
NGC6195,train,standard_mond,23,11.356611960938977,0.043179809310952735,-0.02388712643147553
NGC6503,train,baryons,30,57.56546684140317,0.6267459263618744,0.5884131115074956
NGC6503,train,li2018_rar_mond,30,3.3127268396838696,0.02486087502667756,-0.009130863524156515
NGC6503,train,simple_mond,30,3.6917239593531868,0.027641749294368224,-0.01153954121633699
NGC6503,train,standard_mond,30,6.799243209552533,0.05250472842008676,0.04498436815159094
NGC6674,holdout,baryons,14,122.95758606010106,0.6045872418576623,0.5897012144836281
NGC6674,holdout,li2018_rar_mond,14,26.89159795971118,0.09209836168239412,0.06260026344544954
NGC6674,holdout,simple_mond,14,25.842758623229372,0.08812734342479199,0.05971365989285193
NGC6674,holdout,standard_mond,14,41.70391019148295,0.1503863887348209,0.1242539710373417
NGC6789,outside_P0630_split,baryons,1,28.500072802343414,0.8184944596367179,0.8184944596367179
NGC6789,outside_P0630_split,li2018_rar_mond,1,15.586597604364034,0.3527387494674691,0.3527387494674691
NGC6789,outside_P0630_split,simple_mond,1,15.49628754287011,0.3502212267023611,0.3502212267023611
NGC6789,outside_P0630_split,standard_mond,1,17.954476051936012,0.42149330315020184,0.42149330315020184
NGC6946,development,baryons,54,40.499616305458446,0.2497194680575031,0.2073999692822602
NGC6946,development,li2018_rar_mond,54,16.190748518908674,0.08304052701772971,-0.0777185122978279
NGC6946,development,simple_mond,54,17.54474623930744,0.08999810080798618,-0.0852437380859776
NGC6946,development,standard_mond,54,8.42130480394725,0.04394789568803428,0.0012246416266541234
