radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
7.290294928588959e-12,1.0,1.0
7.384946253574335e-12,1.0,1.0
7.480826455225093e-12,1.0,1.0
7.577951488287339e-12,1.0,1.0
7.676337514650765e-12,1.0,1.0
7.776000906038043e-12,1.0,1.0
7.876958246729122e-12,1.0,1.0
7.979226336320898e-12,1.0,1.0
8.082822192522722e-12,1.0,1.0
8.187763053988196e-12,1.0,1.0
8.294066383183726e-12,1.0,1.0
8.401749869294343e-12,1.0,1.0
8.510831431167225e-12,1.0,1.0
8.621329220293445e-12,1.0,1.0
8.733261623828438e-12,1.0,1.0
8.846647267651671e-12,1.0,1.0
8.96150501946605e-12,1.0,1.0
9.077853991937557e-12,1.0,1.0
9.195713545875658e-12,1.0,1.0
9.315103293454989e-12,1.0,1.0
9.43604310147889e-12,1.0,1.0
9.558553094685292e-12,1.0,1.0
9.682653659095539e-12,1.0,1.0
9.80836544540667e-12,1.0,1.0
9.935709372427771e-12,1.0,1.0
1.0064706630560913e-11,1.0,1.0
1.0195378685327301e-11,1.0,1.0
1.0327747280939206e-11,1.0,1.0
1.0461834443918252e-11,1.0,1.0
1.0597662486760708e-11,1.0,1.0
1.0735254011650343e-11,1.0,1.0
1.08746319142195e-11,1.0,1.0
1.1015819387358995e-11,1.0,1.0
1.115883992507748e-11,1.0,1.0
1.1303717326410918e-11,1.0,1.0
1.1450475699382812e-11,1.0,1.0
1.1599139465015847e-11,1.0,1.0
1.1749733361395622e-11,1.0,1.0
1.1902282447787145e-11,1.0,1.0
1.2056812108804754e-11,1.0,1.0
1.221334805863621e-11,1.0,1.0
1.2371916345321594e-11,1.0,1.0
1.2532543355087795e-11,1.0,1.0
1.2695255816739237e-11,1.0,1.0
1.286008080610565e-11,1.0,1.0
1.3027045750547551e-11,1.0,1.0
1.3196178433520242e-11,1.0,1.0
1.3367506999197063e-11,1.0,1.0
1.3541059957152662e-11,1.0,1.0
1.3716866187107066e-11,1.0,1.0
1.389495494373136e-11,1.0,1.0
1.4075355861515744e-11,1.0,1.0
1.4258098959700803e-11,1.0,1.0
1.4443214647272789e-11,1.0,1.0
1.4630733728023776e-11,1.0,1.0
1.482068740567749e-11,1.0,1.0
1.5013107289081712e-11,1.0,1.0
1.520802539746807e-11,1.0,1.0
1.540547416578014e-11,1.0,1.0
1.5605486450070716e-11,1.0,1.0
1.5808095532969155e-11,1.0,1.0
1.6013335129219694e-11,1.0,1.0
1.6221239391291696e-11,1.0,1.0
1.6431842915062706e-11,1.0,1.0
1.6645180745575318e-11,1.0,1.0
1.686128838286877e-11,1.0,1.0
1.708020178788625e-11,1.0,1.0
1.7301957388458908e-11,1.0,1.0
1.752659208536755e-11,1.0,1.0
1.775414325848303e-11,1.0,1.0
1.798464877298639e-11,1.0,1.0
1.821814698566971e-11,1.0,1.0
1.8454676751318815e-11,1.0,1.0
1.8694277429178805e-11,1.0,1.0
1.8936988889503564e-11,1.0,1.0
1.9182851520190354e-11,1.0,1.0
1.9431906233500178e-11,1.0,1.0
1.9684194472866154e-11,1.0,1.0
1.993975821978952e-11,1.0,1.0
2.0198640000825564e-11,1.0,1.0
2.0460882894660154e-11,1.0,1.0
2.0726530539278154e-11,1.0,1.0
2.0995627139224938e-11,1.0,1.0
2.1268217472962125e-11,1.0,1.0
